,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
81,bfs,20,37,"2,139",[],v0.6.0 Release,2805
82,boteye_sensor,1,0,14,[],,32
83,boteye_driver,1,0,14,[],,3
84,ICE-BA,3,0,13,[],,635
85,shuttle,4,1,506,[],shuttle v0.1.2 release,66
86,Elasticsearch,1,1,10,[],,433
87,fast_rgf,1,2,8,[],,467
88,bce-fpga-dev-kit,5,0,165,[],,6
89,ntripcaster,1,0,1,[],,35
90,speech-samples,3,0,9,[],,48
91,broc,2,3,112,[],,104
92,OASP,1,0,37,[],,32
93,Youtube-8M,1,0,15,[],,114
94,minions,1,0,2,['ethernet-switch'],,11
95,galaxy,5,0,"2,898",[],rtg bug fix,325
96,common,3,9,124,[],,130
97,redis,1,0,4,"['redis', 'redis-cluster', 'auto-scaling', 'in-memory-database', 'key-value-database', 'auto-failover']",,89
98,dlock,1,0,1,[],,218
99,logcover,1,1,8,[],,52
100,terminator,1,0,17,[],,78
101,mapv,8,0,302,[],,53
102,iot,1,0,5,[],,7
103,signet,1,0,1,[],,9
104,Cafe,4,2,401,[],3.2,368
105,ITEST,1,0,6,[],,97
