,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
169,cta,100,68,"1,111","['roslyn', 'netcore', 'source-code', 'refactor']",,31
170,aws-xray-sdk-dotnet,4,7,173,[],Release 2.11.1,98
171,aws-cdi-sdk,3,1,60,[],AWS CDI-SDK Release v2.4.0,41
172,aws-k8s-tester,6,5,"3,256",[],v1.6.6,137
173,efs-utils,1,4,88,[],,207
174,aws-iot-device-sdk-js,8,1,79,[],Dependency Update,934
175,aws-lambda-ruby-runtime-interface-client,2,0,33,[],AWS Lambda Runtime Interface Client for Ruby v2.0.0,39
176,aws-xray-daemon,2,1,142,[],AWS X-Ray daemon update v3.3.3,169
177,sagemaker-pytorch-inference-toolkit,4,9,146,[],v2.0.10,80
178,amazon-sagemaker-clarify,3,0,130,"['machine-learning', 'fairness', 'fairness-ai', 'fairness-ml']",Version 0.2,50
179,amazon-ec2-metadata-mock,1,0,163,"['aws-ec2', 'ec2-instance-metadata', 'hacktoberfest', 'spot-interruption-mock', 'scheduled-events-mock', 'ec2-instance-metadata-mock']",v1.11.2,187
180,sagemaker-experiments,1,2,133,[],Sagemaker Experiment SDK v0.1.38,96
181,aws-nitro-enclaves-nsm-api,1,1,36,"['nitro', 'enclaves', 'nitro-enclaves']",v0.2.1,32
182,amazon-neptune-csv-to-rdf-converter,1,2,13,"['sparql', 'rdf', 'gremlin', 'property-graph', 'amazon-neptune']",,25
183,aws-connected-device-framework,3,6,631,[],1.0.15,44
184,etcdadm-controller,3,0,111,[],,1
185,etcdadm-bootstrap-provider,3,0,90,[],,0
186,aws-xray-sdk-python,3,0,310,[],2.10.0 Release,281
187,aws-sdk-php-symfony,4,6,108,[],Version 2.5.0,329
188,amazon-braket-containers,11,1,38,[],,3
189,amazon-ecs-shim-loggers-for-containerd,1,1,49,"['golang', 'containers', 'containerd', 'fargate']",,33
190,aws-encryption-sdk-dafny,6,2,470,[],3.0.0 -- 2022-05-17,18
191,aws-toolkit-azure-devops,20,2,452,"['cloudformation', 'amazon', 'codedeploy', 'azure-devops']",1.13.0,199
192,dcv-gnome-shell-extension,5,0,23,"['dcv', 'gnome-shell-extension']",dcv-gnome-shell-extension v42.2,4
193,aws-iot-device-sdk-embedded-C,3,5,"1,167",['aws'],202108.00,844
194,autopkg-recipes,1,0,8,"['autopkg', 'autopkg-recipes']",,5
195,aws-cloudtrail-processing-library,2,1,34,[],Version 1.5.1 of the AWS CloudTrail Processing Library,75
196,aws-dax-go,1,1,41,"['dynamodb', 'dax', 'aws-dax-sdk']",,38
197,studio-lab-examples,1,6,148,"['training', 'aws', 'machine-learning', 'deep-learning', 'deploy', 'inference', 'sagemaker', 'huggingface', 'amazon-sagemaker-lab', 'sagemaker-studio-lab']",,269
198,aws-health-tools,1,2,222,[],,842
199,dotnet,4,0,67,"['aws', 'dotnet', 'sdk-dotnet']",,401
200,aws-step-functions-data-science-sdk-python,7,6,154,"['python', 'aws', 'machine-learning', 'stepfunctions']",v2.3.0,228
201,amazon-redshift-python-driver,1,0,268,"['data-science', 'data-analysis', 'amazon-redshift', 'aws-redshift']",v2.0.908,149
202,amazon-vpc-cni-plugins,2,0,133,"['aws', 'containers', 'amazon-ecs', 'cni-plugin', 'amazon-eks']",,44
203,amazon-ec2-spot-interrupter,2,0,30,"['ec2', 'chaos', 'fault-injection', 'spot']",v0.0.8,50
204,aws-dotnet-extensions-configuration,6,0,159,[],,140
205,aws-ops-wheel,4,0,78,[],,289
206,awsui-documentation,3,0,25,[],,192
207,amazon-ecs-cni-plugins,4,0,248,['cni-plugin'],,83
208,amazon-braket-pennylane-plugin-python,4,0,293,['amazon-braket'],v1.6.9,31
209,amazon-ec2-hibinit-agent,3,2,25,[],Ensure we swapon the hibinit swapfile with the highest priority,8
210,amazon-redshift-odbc-driver,1,0,9,[],,7
211,aws-fpga,8,1,294,[],Migration between F1 and U200 in vivado flow is now supported,1259
212,amazon-neptune-gremlin-java-sigv4,9,0,64,"['java', 'aws-neptune', 'amazon-neptune']",Amazon Neptune Gremlin Java Sigv4 v2.4.0,23
213,sagemaker-tensorflow-extensions,10,11,167,[],v1.15.0,46
214,aws-aspnet-cognito-identity-provider,8,2,118,"['cognito', 'asp-net-core', 'asp-net-identity', 'cognito-user-pool', 'cognito-identity']",,153
215,aws-swf-flow-library,3,4,18,[],,56
216,aws-panorama-cli,2,0,11,[],,6
217,amazon-braket-strawberryfields-plugin-python,2,0,8,[],v1.0.1,5
218,amazon-braket-ocean-plugin-python,3,1,104,['amazon-braket'],v1.0.11,15
219,aws-lambda-nodejs-runtime-interface-client,2,5,18,[],AWS Lambda Runtime Interface Client for NodeJS v2.0.0,110
220,amazon-ecs-logs-collector,5,1,101,[],,162
221,aws-msk-iam-auth,3,1,103,[],1.1.4,62
222,aws-sdk-php-v3-bridge,2,2,23,[],,8
223,aws-codeguru-cli,1,0,96,"['aws', 'static-analysis']",0.2.1,13
224,sagemaker-tensorflow-training-toolkit,6,1,225,"['docker', 'aws', 'tensorflow', 'sagemaker']",v20.4.0,245
225,lightsailctl,1,0,23,[],v1.0.4,13
226,amazon-eks-pod-identity-webhook,1,11,107,[],v0.4.0,438
227,aws-logging-dotnet,11,1,282,[],,250
228,aws-codedeploy-agent,4,17,374,[],AWS CodeDeploy agent version 1.3.2,292
229,Trusted-Advisor-Tools,1,1,133,[],,222
230,aws-emr-containers-best-practices,2,0,73,[],,32
231,amazon-ecs-cli,7,5,976,[],amazon-ecs-cli: Release v1.21.0,1637
232,aws-xray-sdk-ruby,1,0,84,[],Release 0.13.0,53
233,dcv-color-primitives,3,1,185,[],v0.5.1,19
234,aws-fpga-f1-u200,2,0,15,[],Developer kit release to support MCS generation,3
235,amazon-gamelift-plugin-unity,4,1,77,[],Release 1.2.0,52
236,firelens-datajet,7,0,41,[],Firelens Datajet 0.1.3,3
237,to-smote-or-not,2,1,3,[],,1
238,aws-emr-best-practices,3,1,47,[],,18
239,sagemaker-chainer-container,2,2,129,"['docker', 'aws', 'chainer', 'sagemaker']",v1.0.9.post0,16
240,amazon-neptune-sigv4-signer,8,0,40,"['aws-neptune', 'amazon-neptune']",Amazon Neptune SigV4 Signer v2.4.0,12
241,session-manager-plugin,1,8,27,[],Session Manager Plugin - Release 1.2.339.0 - 2022-06-16,164
242,aws-dotnet-session-provider,7,1,68,[],,29
243,aws-nitro-enclaves-samples,1,0,19,"['nitro', 'enclaves', 'nitro-enclaves']",,25
244,aws-iot-device-sdk-cpp,5,0,99,[],Release Version 1.4.0,109
245,amazon-s3-plugin-for-pytorch,49,0,130,[],,125
246,amazon-states-language-service,12,2,107,[],,23
247,amazon-finspace-examples,4,3,97,"['aws', 'data-science', 'examples', 'data-versioning', 'timeseries-analysis', 'finspace']",,13
248,aws-elastic-beanstalk-cli-setup,1,11,102,"['python', 'aws', 'elasticbeanstalk', 'installation', 'elastic-beanstalk', 'eb-cli', 'awsebcli', 'ebcli']",v0.2.0,380
249,sagemaker-mxnet-inference-toolkit,9,4,190,[],v1.5.5,26
250,crypto-tools,3,2,33,[],,27
251,amazon-kinesis-video-streams-parser-library,7,0,114,[],Release 1.2.4 ((February 2022) of the Amazon Kinesis Video Streams Parser Library),82
252,aws-secretsmanager-caching-python,1,2,51,[],aws-secretsmanager-caching-python v1.1.1.5 release,99
253,amazon-s3-encryption-client-dotnet,9,2,34,[],,8
254,aws-ssm-data-protection-provider-for-aspnet,4,1,69,[],,40
255,aws-dotnet-trace-listener,6,0,33,[],,14
256,aws-sdk-unity-net,4,0,23,[],,10
257,amazon-cognito-sync-manager-net,4,0,26,[],,6
258,aws-mobile-analytics-manager-net,4,0,26,[],,4
259,mit-0,1,2,1,[],,213
260,amazon-freertos-ble-android-sdk,3,0,87,[],v1.5.0,40
261,audit-plugin-for-mysql,2,0,"194,414",[],,11
262,amazon-freertos-ble-ios-sdk,2,0,98,[],1.4.0,37
263,aws-gamekit-unreal,1,0,5,[],Release v1.1.0,45
264,aws-sdk,1,1,9,[],,43
265,aws-gamekit,1,0,3,[],,17
266,aws-sdk-php-zf2,5,2,113,[],Version 4.4.0,101
267,clock-bound,1,1,16,[],,140
268,aws-nitro-enclaves-image-format,1,0,6,[],,0
269,aws-sigv4-auth-cassandra-java-driver-plugin,3,1,36,"['aws', 'cassandra', 'cql', 'sigv4', 'datastax-java-driver', 'aws-sigv4', 'sigv4client', 'amazon-keyspaces', 'keyspaces']",4.0.3 - AWS SDK 1,9
270,iot-atlas,3,2,277,"['iot', 'design-pattern', 'cloud', 'design-patterns']",,103
271,sagemaker-rl-container,8,2,78,[],,66
272,amazon-eks-connector,3,0,7,[],,26
273,aws-xray-java-agent,1,0,188,[],Release 2.9.1,36
274,aws-ec2-instance-connect-cli,1,4,20,[],Windows fix for IdentitiesOnly parameter,128
275,aws-sigv4-auth-cassandra-nodejs-driver-plugin,1,0,14,"['nodejs', 'aws', 'cassandra', 'cql', 'sigv4', 'aws-sigv4', 'sigv4client', 'amazon-keyspaces', 'keyspaces', 'datastax-nodejs-driver']",,3
276,sagemaker-jumpstart-industry-pack,7,0,126,[],,9
277,aws-sdk-php-laravel,7,3,133,[],Version 3.7.0,1499
