,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
1203,lovefield,3,13,"1,131",[],,6808
1204,GiftStick,1,0,101,[],,117
1205,ipaddr-py,4,1,373,[],,187
1206,testimony,3,2,111,[],,99
1207,vim-selector,2,1,13,[],,16
1208,aegis_cipher,2,0,6,[],,15
1209,cpp-proto-builder,1,0,1,[],Pre-release,2
1210,open-chiplet,1,0,1,[],,10
1211,tuneup.dart,48,0,179,[],0.3.7,53
1212,vim-coverage,2,5,48,[],,97
1213,earthenterprise,26,0,"1,778","['javascript', 'python', 'c-plus-plus', 'terrain', 'vector', 'gis', 'earth', 'raster', 'gdal', 'fusion', 'imagery', '3d-globe', '2d-map', 'earth-enterprise']",Open GEE 5.3.8 final release (build 5.3.8-1731.15),2516
1214,vpn-libraries,1,0,6,"['google', 'vpn']",,194
1215,trusted-worklet-server,1,0,1,[],,3
1216,trusted-key-value-server,1,0,1,[],,2
1217,prediction_framework,1,0,116,[],v1.0.2,30
1218,deluca-igpc,3,0,8,[],,3
1219,cssi-labs,3,1,94,[],,30
1220,uis-rnn,1,0,175,"['machine-learning', 'clustering', 'supervised-learning', 'speaker-recognition', 'speaker-diarization', 'supervised-clustering', 'uis-rnn']",,1428
1221,stenographer,5,5,486,[],,1730
1222,graph-mining,1,0,2,[],,4
1223,usb-cereal,1,0,1,['usb-c'],,37
1224,diff-match-patch,1,22,44,"['diff', 'match', 'patch', 'text-processing', 'difference']",,5571
1225,rtb_troubleshooting_connector,1,0,2,[],,0
1226,myelin-acorn-electron-hardware,1,0,438,[],,40
1227,nsc-tutorial,1,0,11,[],,1
1228,hrepl,3,1,26,[],,45
1229,vxsig,1,0,27,"['c-plus-plus', 'signatures', 'antivirus', 'disassembly', 'lcs-algorithm', 'bindiff', 'binexport']",,161
1230,instrumentsToPprof,1,0,10,[],,26
1231,dv-3po,1,0,25,[],,4
1232,web-api-gateway,2,1,27,[],,42
1233,CSP-Validator,1,1,7,[],,25
1234,gsrsup,1,0,5,['google-cloud-storage'],,1
1235,multichase,1,2,60,[],,56
1236,dv360-api-appsscript-samples,1,0,17,"['appsscript', 'dv360']",,12
1237,AFL,5,12,53,[],Version 2.57b (2020-06-30),2872
1238,keytransparency,24,13,"1,917","['secure-by-default', 'coniks', 'key-management', 'block-chain', 'public-keys', 'merkletree', 'verifiable-data-structures', 'verifiable-random-function', 'vrf']",Google Cloud Spanner in GKE,1568
1239,gitprotocolio,1,0,8,[],,396
1240,ui-exp-dg,1,2,16,[],,11
1241,libpam-policycache,7,0,100,['pam'],,31
1242,pikov,1,0,74,[],,15
1243,vimscript-language-server,1,0,70,[],,376
1244,federated-ml-health,1,0,1,[],,5
1245,rich-test-results,3,2,58,[],,54
1246,neural-light-transport,1,0,16,"['computer-vision', 'computer-graphics', 'view-synthesis', 'neural-rendering', 'relighting']",,207
1247,codeu_project_2017,2,0,58,[],,93
1248,gfbuild-swiftshader,1,0,251,[],github/google/gfbuild-swiftshader/8f075627d16bdd2a8d861e9d81df541f5cf68e2e,4
1249,python-cloud-utils,2,1,50,[],,20
1250,domaintest,3,2,78,[],,72
1251,mysteryofthreebots,12,10,113,[],,29
1252,dnae,2,1,4,[],,6
1253,har-sanitizer,3,2,32,[],,37
1254,last-fm-dashboard,4,3,2,[],,13
1255,guice-aqueduct,3,2,10,"['java', 'pipeline', 'dependency-injection', 'guice']",,9
1256,hana-bq-beam-connector,3,2,10,[],,4
1257,stress_transfer,2,1,20,[],,6
1258,arithmancer,2,2,23,[],,60
1259,contentbox,3,3,12,[],Initial version,32
1260,maps-for-work-samples,2,2,29,[],,134
1261,java-sourcetools,3,1,9,[],,6
1262,gwteventbinder,3,1,56,[],,140
1263,usbinfo,2,1,34,[],Version 1.1.2,39
1264,flutter-provide,1,1,19,"['state-management', 'flutter']",,825
1265,closure-builder,3,0,311,[],,65
1266,pedantic,3,0,93,[],Deprecated,326
1267,cbortree,3,0,15,[],,18
1268,dv360-api,1,0,83,[],"Core functionality based on temperature, precipitation (rain or snow), wind speed",28
1269,resumable-assert,1,1,12,"['swift', 'objective-c', 'assert']",,175
1270,auction-insights-visualization,1,0,13,[],,10
1271,asylo-site,2,0,74,[],,19
1272,asylo-examples,1,0,16,[],Release 0.6.1,19
1273,cyanobyte,5,5,171,"['iot', 'codegen']",Codegen v0.0.2,67
1274,libtrusttoken,1,0,15,[],,7
1275,shenzhen-go,3,1,804,"['go', 'golang', 'flow', 'graph', 'visual', 'dataflow', 'flowchart']",,463
1276,dv360-automation,1,0,11,"['automation', 'dv360', 'display-video-360']",,8
1277,monster-mash,1,1,17,[],,1116
1278,swiftlogfirecloud,2,1,6,[],Initial Open Source Release,16
1279,bband-adaband,1,1,2,[],,9
1280,skywater-pdk-actions,1,1,42,"['asic', 'digital', 'ci', 'actions', 'cicd', 'logic-gates', 'pdk', 'github-actions', 'skywater']",,10
1281,openssl-tests,1,1,21,[],,11
1282,hover,7,3,88,[],,2658
1283,opensmartbutton,2,0,53,[],,3
1284,talos-dv360,1,0,3,[],,3
1285,easypki,1,2,38,[],Bolt support and more test coverage.,580
1286,hammer-kit,1,0,5,[],,68
1287,devsite-template,1,0,2,[],,1
1288,mosaic,1,0,179,['rust'],,10
1289,tcpauth,1,0,17,[],,90
1290,vimdoc,30,1,111,['vim'],v0.7.0: Bump version to 0.7.0,247
1291,recog,1,0,7,[],,2
1292,transperf,1,0,2,"['testing', 'networking', 'tcp', 'bbr', 'bbr2']",,149
1293,gf-layers,4,1,17,"['vulkan', 'layers']",,5
1294,rescue-tools-reiserfs,1,0,5,[],,3
1295,localsubnetsetd,1,0,1,['nftables'],,3
1296,experience-accessibility,1,0,4,"['android', 'accessibility', 'a11y', 'experience']",,18
1297,ihmehimmeli,3,0,4,[],,132
1298,kube-node-tracer,1,0,10,[],,4
1299,ffn,1,1,61,"['segmentation', 'connectomics', 'instance-segmentation', 'ffn', 'flood-filling-networks']",,271
1300,fidi,5,0,24,[],,7
1301,proto-quic,24,2,128,[],,1174
1302,logger,1,2,36,[],v1.1.1,854
1303,transmat,2,0,19,"['drag-drop', 'json-ld', 'mime-types', 'copy-paste', 'datatransfer']",,489
1304,learn-oss-with-google,1,0,10,"['kubernetes', 'services', 'containers', 'gateway-api', 'horizontal-pod-autoscaler']",,16
1305,git-presubmit-linter,1,0,17,[],,33
1306,butteraugli,2,14,35,[],,1845
1307,macops-MOLAuthenticatingURLSession,1,0,30,[],v3.0,17
1308,pyvisionproductsearch,1,1,18,[],v0.3,5
1309,blueprint,4,0,"1,629",[],,345
1310,mysql-ripple,1,0,20,[],,362
1311,apt-golang-s3,1,0,52,"['golang', 'apt', 's3']",,35
1312,skywater-pdk-libs-sky130_fd_io,6,0,13,"['asic', 'eda', 'io', 'ic', 'silicon', 'integrated-circuits', 'sky130']",,4
1313,skywater-pdk-libs-sky130_fd_sc_hdll,4,0,55,"['asic', 'eda', 'ic', 'silicon', 'integrated-circuits', 'openroad', 'sky130', 'standard-cells']",,3
1314,skywater-pdk-libs-sky130_fd_sc_hs,4,0,53,"['asic', 'eda', 'ic', 'silicon', 'integrated-circuits', 'openroad', 'sky130', 'standard-cells']",,3
1315,skywater-pdk-libs-sky130_fd_sc_hvl,5,0,79,"['asic', 'eda', 'ic', 'silicon', 'integrated-circuits', 'openroad', 'sky130', 'standard-cells']",,3
1316,skywater-pdk-libs-sky130_fd_sc_ls,4,0,53,"['asic', 'eda', 'ic', 'silicon', 'integrated-circuits', 'openroad', 'sky130', 'standard-cells']",,4
1317,skywater-pdk-libs-sky130_fd_sc_ms,4,0,57,"['asic', 'eda', 'ic', 'silicon', 'integrated-circuits', 'openroad', 'sky130', 'standard-cells']",,3
1318,skywater-pdk-libs-sky130_fd_sc_lp,4,0,55,"['asic', 'eda', 'ic', 'silicon', 'integrated-circuits', 'openroad', 'sky130', 'standard-cells']",,3
1319,coapblaster,3,0,30,[],,30
1320,formal-ml,1,1,7,[],v0.0.1,16
1321,selinux-policy-languages,1,0,6,"['vscode', 'cil', 'selinux']",,5
1322,cabal2bazel,1,1,7,[],,38
1323,reflow-list,1,0,6,[],,1
1324,ffcc,2,0,58,"['google', 'image-processing', 'cvpr-2017', 'whitebalance']",,172
1325,retriever_parsing,1,0,1,[],,4
1326,custom-tab-groups,1,0,9,[],,3
1327,prog-edu-assistant-quizzes,1,0,5,['autograding'],,2
