,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
97,egjs-rotate,3,1,44,"['javascript', 'rotate', 'egjs']",2.1.0 release (2018-05-04),11
98,openwhisk-intellij-plugin,1,0,26,[],1.1.5,10
99,arcus-zookeeper,8,1,"1,922",[],Arcus ZooKeeper 3.5.9-p1,7
100,claf,4,1,170,"['nlp', 'language', 'natural-language-processing', 'framework', 'pytorch', 'clova']","GLUE Benchmark, BPE Tokenizer, RoBERTa and WarmUp Scheduler Series",212
101,cafe-sdk-ios,1,0,21,[],4.4.6,15
102,force,1,0,5,[],,10
103,hadoop,1,1,"8,985",[],,33
104,hammer.js,6,0,"1,243",[],2.0.17 Release (2019-12-16),34
105,radio-group-container,1,0,1,[],,1
106,smarteditor2,4,1,65,"['javascript', 'editor', 'wysiwyg', 'smarteditor']",2.10.0,211
107,dope,1,0,2,[],,87
108,covid19-nmt,1,0,15,[],,38
109,clova-ai-apis-doc,1,0,71,[],,6
110,nextjs-boilerplate,1,0,1,[],,6
111,lcrnet-v2-improved-ppi,1,0,1,[],,4
112,discovery-zookeeper,1,0,11,[],discovery-zookeeper-7.3.2,7
113,dcmm,1,0,3,[],,8
114,egjs-children-differ,11,9,14,"['diff', 'ordered', 'removed', 'differ', 'changed', 'added', 'purechanged']",1.0.0 Release (2019-08-05),21
115,sqlova,1,1,44,[],Trained Shallow Layer and Decoder Layer parameters,591
116,ngx_http_extended_status_module,1,0,44,[],,4
117,biobert-pretrained,1,1,17,[],Pre-trained weight of BioBERT v1.1 (+PubMed 1M),542
118,domainshift-prediction,1,0,1,[],,10
119,guitar,1,0,39,[],GUITAR 2.0.0.38 설치파일 및 예제 (2019-01-04),74
120,cgd,1,0,6,"['mxnet', 'cbir', 'image-retrieval', 'cgd', 'global-descriptor']",,134
121,cafe-sdk-cocos2dx,2,0,232,[],4.4.8,3
122,cafe-sdk-unreal,2,0,248,[],4.4.8,6
123,react-native-image-modifier,4,0,24,[],v0.1.7,24
124,graphql-server-boilerplate,1,0,1,[],,15
125,whale-browser-developers,4,0,17,[],,29
126,clova-chatbot-user-guide,1,0,47,[],,2
127,arcus-python-client,1,6,58,[],,15
128,svc-template,3,0,34,[],,13
129,svc,4,0,212,[],,61
130,hubblemon,3,0,261,"['django', 'monitoring', 'management', 'python3']",,53
131,isometrizer,2,0,8,"['javascript', 'css', 'html', 'typescript', 'dom', 'css3', 'isometric', 'projection', 'html-css', 'html-css-javascript', '3d', '3d-graphics']",,38
132,arcus-misc,1,0,62,[],,3
133,qadiver,1,0,1,[],,7
134,dialogwae,1,0,8,[],,3
135,aqm-plus,1,0,1,[],,48
136,image-sprite-webpack-plugin,6,0,33,"['css', 'webpack', 'webpack-plugin', 'stylesheet', 'spritesmith', 'css-loader']",v0.2.2,27
137,ai-hackathon,1,0,69,"['nlp', 'machine-learning', 'ai', 'hackathon', 'naver']",,26
138,eslint-config-naver,2,0,54,"['javascript', 'eslint', 'coding-standards', 'eslint-config', 'naver']",2.1.0 Release (~2018.1.16),166
139,nlp-challenge,2,0,29,[],,150
140,react-sample-code,2,0,3,['react'],,37
141,babel-plugin-no-side-effect-class-properties,1,0,13,"['javascript', 'babel', 'babel-plugin', 'ast', 'tree-shaking', 'babel7']",,7
142,mei-sdk-android,1,0,10,[],,17
143,kor2vec,1,0,1,[],,170
144,clova-extension-sample-coinhelper,1,0,3,[],,3
145,jta-sample,1,0,10,[],,10
146,clova-extension-sample-dice,4,1,3,[],,6
147,d2codingfont,1,0,35,[],D2Coding Ver 1.3.2,1604
148,rye,4,0,505,"['database', 'sharding', 'newsql', 'native-sharding-rdbms']",v1.1.0,54
149,egjs-jquery-pauseresume,3,0,61,"['resume', 'jquery', 'animation', 'pause', 'egjs']",2.0.1,14
150,egjs-jquery-transform,3,1,61,"['jquery', 'transform', 'egjs']",2.0.0: chore(all): rename repository name and related,18
151,attention-dialog-embedding,1,0,8,"['dialog', 'pytorch', 'rnn', 'attention', 'dstc6', 'dbdc3']",,13
152,protonow,1,0,3,[],,6
153,billboard.js-playground,1,0,64,[],,4
154,generator-egjs,1,0,99,"['yo', 'generator', 'egjs']",,3
155,egjs-jsdoc-template,2,0,92,"['jsdoc', 'jsdoc-template']",1.4.4,8
156,clova-extension-sample-magicball,1,0,1,[],,11
157,clova-extension-sample-rainsound,1,0,1,[],,5
158,java-optionalbp,1,0,9,[],,7
159,arcus-python2-client,1,0,10,[],,4
160,svngit,1,0,44,[],SVNGit 0.2.0,18
161,devcenter-open-project-migration,12,9,150,[],,5
162,hammerjs-compatible,2,0,30,[],1.1.0,4
163,marksy,3,0,7,[],,0
164,jindojs-jc,1,0,22,[],,12
165,grinder-patch,1,1,17,[],,1
166,arcus-hubble,2,1,14,[],0.5.0,4
167,arcus-cpp-client,1,1,9,[],,3
168,jaudiotagger-naver,1,0,"1,176",[],,1
169,webkit,8,0,"177,950",[],,4
170,date-period-picker,7,0,57,[],fixed today script error,7
171,auidoc,3,0,810,[],,0
172,gobench2xml,1,0,1,"['go', 'golang', 'benchmark', 'xml']",,5
173,jindojs-jmc,1,0,27,[],,16
174,jindojs-jindo,2,1,65,[],2.12.2,42
175,kaist-oss-course,3,0,32,[],,38
176,jindo-to-jquery,1,0,66,[],,2
177,webkit-extensions,1,0,1,[],,2
178,sling,2,0,9,[],,117
179,iscroll,4,0,79,[],,1
