,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
114,tizen-fundamental-classes,5,0,450,[],,16
115,skia,24,0,"12,472",[],,13
116,cordova-sectv-orsay,1,0,95,[],v1.2.0,16
117,security-manager,1,2,794,[],,10
118,MeziLang,1,0,20,[],,11
119,tizen-app-assist,1,0,6,[],,12
120,spark-cep,1,0,10,[],,53
121,cordova-sectv-tizen,1,0,69,[],v1.2.0,17
122,cuda4py,1,0,83,[],,6
123,veles,1,0,"4,326",[],,898
124,SJS,2,0,5,[],,30
125,mimic,3,0,600,[],,14
126,veles.nlp,1,0,3,[],,9
127,veles.znicz,2,0,"2,283",[],,26
128,meminsight,3,0,148,[],,78
129,nether,2,0,37,[],,2
130,cargo,1,0,6,[],,15
131,vasum,2,0,585,[],,24
132,veles.uima,1,0,1,[],,0
133,CordovaPlugins,1,0,6,[],,16
134,ADBI,1,3,2,[],,282
135,ckm,2,0,496,[],,9
136,opencl4py,1,0,98,[],Basic OpenCL 2.0 Pipes and SVM support,8
137,nice-lad,1,1,31,[],,3
138,askuser,1,1,20,[],,2
139,restful,1,0,252,[],,55
140,ribon,1,0,16,[],,19
141,trace-typing,1,0,119,[],,3
142,veles.sound_feature_extraction,1,0,734,[],,27
143,veles.simd,1,0,128,[],,13
144,veles.mastodon,1,0,43,[],,9
145,cert-checker,1,0,3,[],,2
146,security-tests,0,0,0,[],,2
147,SVIEngine,1,0,5,[],,23
148,DeathHandler,1,0,17,[],,4
149,udt4py,1,0,21,[],,7
150,OCLAlgo,1,0,18,[],,8
151,SEAPT,1,0,27,[],,5
152,FFTF,1,0,12,[],,9
