,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
45,transmittable-thread-local,20,5,922,"['java', 'middleware', 'framework', 'async', 'executor', 'threadsafe', 'asynchronous', 'thread', 'distributed', 'context', 'apm', 'tracing', 'thread-pool', 'dapper', 'threadlocal', 'transmittable', 'distributed-tracing', 'transmittable-thread-local', 'forkjoinpool', 'async-context']","v2.14.0: support `Transmittee Register`, the extension point for other `ThreadLocal`",5629
46,tengine,8,50,"1,527","['nginx', 'tengine']",Tengine-2.3.3,11605
47,SmartEngine,4,0,295,[],,469
48,id2_client_sdk,6,0,15,[],,78
49,font-toolkit,2,1,35,[],,57
50,lowcode-engine,26,1,286,"['alibaba', 'low-code', 'lowcode']",v1.0.13,7696
51,open-simulator,2,0,201,"['kubernetes', 'simulator', 'capacity-planning']",v0.1.2,151
52,lowcode-engine-ext,10,0,49,"['alibaba', 'low-code', 'lowcode']",,63
53,easyrobust,1,0,14,"['deep-learning', 'imagenet', 'image-classification', 'robustness', 'adversarial-robustness']",,25
54,druid,14,150,"6,609",[],Druid 1.2.11版本发布,25937
55,compileflow,9,4,167,"['java', 'flow', 'spring', 'process', 'compile', 'process-engine', 'alibaba', 'bpmn2', 'halo-platform']",1.2.0 Release 💎,1102
56,lowcode-materials,5,2,66,"['alibaba', 'low-code', 'lowcode']",,112
57,proxima,2,0,34,[],ProximaBillin 0.2.1,181
58,lowcode-tools,2,2,49,"['alibaba', 'low-code', 'lowcode']",,48
59,hybridnet,7,0,708,"['kubernetes', 'networking', 'bgp', 'container', 'sdn', 'overlay-network', 'vlan', 'vxlan', 'cni', 'hybrid-cloud', 'kubernetes-networking', 'cni-plugin']",v0.7.2,145
60,Appactive,6,4,133,"['application', 'multisite', 'failover', 'high-availability', 'bcm', 'sos', 'aliyun', 'disaster-recovery', 'traffic-control']",v0.2.1,323
61,dragonwell8,13,4,"90,747","['java', 'java8', 'jdk', 'lts', 'openjdk', 'dragonwell8']",Alibaba_Dragonwell_Extended_8.12.13,3667
62,async_simple,3,0,83,[],,469
63,sentinel-golang,6,14,262,"['microservice', 'rate-limiting', 'resiliency', 'cloud-native']",v1.0.4,2098
64,AGEIPort,1,0,11,[],,14
65,alibaba-rsocket-broker,2,0,"2,770","['iot', 'grpc', 'rpc', 'broker', 'service-mesh', 'alibaba', 'rsocket']",1.1.3,672
66,open-local,2,1,250,"['kubernetes', 'storage', 'snapshot', 'localstorage', 'cloud-native', 'lvm', 'csi']",v0.5.5,278
67,AliOS-Things,15,5,"6,748","['iot', 'microcontroller', 'embedded', 'os', 'haas', 'rtos', 'risc-v', 'haas-python']",AliOS Things v1.3.4 release note,4264
68,AliceMind,2,3,32,"['nlp', 'natural-language-processing', 'deep-learning', 'bert']",v1.0,1220
69,formily,4,0,"2,912","['react', 'reactive', 'react-native', 'vue', 'json-schema', 'validator', 'observable', 'json-schema-form', 'form', 'fusion', 'form-builder', 'ant-design', 'low-code', 'no-code', 'react-form', 'designable', 'schema-form', 'vue-form', 'vue3']",Release 🚀 - v2.2.1,8328
70,heterogeneity-aware-lowering-and-optimization,15,43,952,[],IPU_STABLE_SDK_2.3.1_v8,207
71,QLExpress,20,9,265,[],v3.3.0,3607
72,fast-modeling-language,1,0,10,"['java', 'aliyun']",,17
73,tair-go,4,2,8,[],v1.1.1,7
74,COLA,2,2,328,"['architecture', 'clean', 'cola']",COLA 4.3.1 🥤,8208
75,RedisShake,11,2,681,"['redis', 'redis-cluster', 'redis-proxy']",v3.0.0,2536
76,cloud-charts,3,0,202,[],1.0.22,407
77,termd,7,8,69,[],,109
78,lowcode-demo,10,1,83,"['alibaba', 'low-code', 'lowcode']",,666
79,easyexcel,8,41,873,"['java', 'excel', 'xlsx', 'xls', 'poi', 'oom', 'jxl']",,24826
80,schema-plugin-flow,1,0,177,"['react', 'plugin', 'schema', 'vue', 'drag-and-drop', 'form', 'fusion', 'extensible', 'ant-design', 'js-framework', 'low-code', 'vue-drag-and-drop', 'react-drag-and-drop', 'ant-design-vue', 'sifo', 'schema-render', 'extend-plugins', 'schema-plugin-flow']",,386
81,lowcode-code-generator-demo,4,2,24,"['alibaba', 'low-code', 'lowcode']",,36
82,pouch,2,0,"3,002","['go', 'kubernetes', 'security', 'package', 'containers', 'efficiency', 'oci', 'cloud-native', 'isolation']",PouchContainer 1.3.0,4518
83,PhotonLibOS,1,1,45,"['linux', 'cpp', 'asyncio', 'fastest', 'coroutine', 'libos', 'iouring', 'net-library', 'fs-library', 'kernel-features']",v0.2.0,277
84,EssentialMC2,2,0,210,[],,97
85,dragonwell17,6,0,"66,025",[],Alibaba_Dragonwell_Standard_17.0.4.0.4+8,140
86,kt-connect,5,1,"1,440","['kubernetes', 'vpn', 'mesh', 'connect', 'developer-tools', 'istio', 'exchage']",v0.3.6,906
87,sentinel-cpp,8,4,88,"['microservice', 'cpp', 'rate-limiting', 'hacktoberfest', 'resilience']",,123
88,java-dns-cache-manipulator,6,0,402,"['java', 'testing', 'dns', 'unit-testing', 'threadsafe', 'jvm', 'integration-testing', 'hacking', 'dns-cache', 'domain-name', 'dns-cache-manipulator', 'hacking-code']",v1.8.0-RC1: support Java 18/19,708
89,graph-learn,5,1,184,"['training', 'graph', 'tensorflow', 'inference', 'pytorch', 'graph-neural-networks', 'gnn', 'aligraph', 'graphlearn', 'dynamic-graph', 'gnn-framework']",v1.0.1,1090
90,x-deeplearning,6,14,81,[],XDL1.2 Release Notes,4091
91,canvas-ui,5,0,22,"['react', 'typescript', 'canvas']",,121
92,TairZset,3,0,24,"['redis', 'module', 'zset', 'multiple-scores']",release-v0.0.1-20211027,48
93,fastFFI,2,0,69,[],,63
94,rex-design,7,0,242,"['react', 'typescript', 'design-system', 'react-component-library']",,115
95,hiactor,2,0,20,[],,20
96,testable-mock,6,0,594,"['mock', 'unittest']",,1552
97,clusterdata,3,4,105,['dataset'],,1042
98,pont,16,1,628,"['typescript', 'swagger', 'mock-data', 'pont']",v1.3.2,2740
99,BizCharts,9,1,989,"['react', 'chart', 'es6', 'grammar', 'html5-canvas', 'data-visualization']",v4.0.15,5925
100,HybridBackend,2,0,46,"['deep-learning', 'gpu', 'parquet', 'recommender-system', 'hybrid-parallelism']",HybridBackend 0.5.4,93
101,SiliconFastOS,1,0,3,[],,2
102,elastic-rdma-drivers,1,0,21,[],,8
103,libgrape-lite,5,0,65,"['grape', 'library', 'cxx', 'graph', 'graph-algorithms', 'gpu', 'parallel', 'mpi', 'header-only', 'graph-theory', 'gnn']",,273
104,rax,9,6,"5,965","['javascript', 'mobile', 'framework', 'typescript', 'web', 'pwa', 'universal', 'ssr', 'weex', 'miniapp', 'rax']",v1.2.2,7780
105,form-driver,3,0,23,[],,4
106,bulbasaur,4,4,26,[],,672
107,diagnose-tools,4,0,660,[],,346
108,serverless-vscode,38,22,215,"['fun', 'serverless', 'serverless-plugin', 'aliyun', 'alibaba', 'alibabacloud', 'function-compute', 'aliyun-fun', 'aliyun-fc', 'funcraft']",Release 1.27.19,287
109,f2e-spec,38,3,82,"['linter', 'specification', 'guidelines']",,410
110,MongoShake,69,1,692,"['replication', 'mongodb-oplog', 'active-active', 'mongo-database', 'mongoshake']",release-v2.8.0-20220720,1394
111,TairHash,14,1,91,"['redis', 'module', 'hash', 'version', 'expiration']",release-v0.0.2-20211120,172
112,arthas-site,2,0,33,[],,15
113,NimoShake,14,1,76,[],release-v1.0.13-20220411,54
114,designable,3,9,620,"['react', 'editor', 'builder', 'form', 'designer', 'designable']",Designable Release 🚀 - v0.5.19,2216
115,yugong,8,12,69,[],v1.0.3,2327
116,auto-doc,1,1,9,[],,11
117,Alink,1,7,245,"['machine-learning', 'data-mining', 'statistics', 'kafka', 'graph-algorithms', 'clustering', 'word2vec', 'regression', 'xgboost', 'classification', 'recommender', 'recommender-system', 'apriori', 'feature-engineering', 'flink', 'fm', 'flink-ml', 'graph-embedding', 'flink-machine-learning']",Alink version 1.5.7,3191
118,EasyParallelLibrary,1,0,17,"['deep-learning', 'gpu', 'memory-efficient', 'data-parallelism', 'model-parallelism', 'distributed-training', 'pipeline-parallelism']",,156
119,funcraft,232,38,931,"['serverless', 'aliyun', 'alibabacloud', 'function-compute']",Release 3.6.24,929
120,ChatUI,2,2,285,"['react', 'chat', 'ui', 'chatbot']",,1428
121,dawn,28,16,820,"['nodejs', 'javascript', 'construction', 'middleware', 'task', 'front-end', 'build', 'pipeline', 'build-tool', 'pack', 'dawn', 'dawn-cli']",@dawnjs/dn-middleware-lint@3.4.0,1128
122,derrick,4,1,333,[],v0.2.1,649
123,ali-react-table,9,11,311,"['react', 'table', 'react-table']",,811
124,alibaba.alicloud,5,9,360,[],v1.20.0,212
125,footmark,3,3,79,[],,12
126,p3c,6,23,290,[],,28095
127,SparkCube,4,3,30,[],SparkCube 0.3.0 released,121
128,tamper,1,3,64,[],,238
129,table-computing,4,0,31,"['java', 'big-data', 'stream-processing', 'data-analysis', 'tc', 'table-computing']",,33
130,ARouter,3,9,301,"['android', 'router', 'navigation', 'dependency-injection', 'interceptor', 'componentization']",Optimization & Bugfix,13920
