,title,descript,topic_keyword,fork,star
0,openedges.github.io,[BLANK],[],0,0
1,enlight-linux-device-driver,Enlight Linux Device Driver,[],0,0
2,enlight-linux-application,Enlight Linux Application,[],0,0
3,python-101,[BLANK],[],0,1
4,protobuf.js,Protocol Buffers for JavaScript (& TypeScript).,[],1335,0
5,cue,Validate and define text-based and dynamic configuration,[],184,0
6,netron,"Visualizer for neural network, deep learning and machine learning models",[],2311,1
7,tensorflow,Computation using data flow graphs for scalable machine learning,[],87285,0
8,caffe,Caffe: a fast open framework for deep learning.,[],18992,0
