num,clusters,cluster_num,top_15_topics
0,"['mlir-aie', 'PYNQ', 'qemu', 'ZCU111-PYNQ', 'open-amp', 'libmetal', 'finn-examples', 'xup_vitis_network_example', 'finn-base', 'Vitis_Accel_Examples', 'DPU-PYNQ', 'roast', 'Alveo-PYNQ', 'SDAccel_Examples', 'graphanalytics', 'ResNet50-PYNQ', 'Applications', 'PYNQ-DL', 'ml-suite', 'SDSoC_Examples', 'IIoT-SPYN', 'IIoT-EDDP', '5point-PYNQ', 'graffitist', 'GO-PYNQ', 'PYNQ-ComputerVision', 'CHaiDNN', 'PYNQ-Networking', 'PYNQ_Hackathon']",29,"[('pynq', 12), ('xilinx', 7), ('alveo', 6), ('python', 5), ('sdx', 4), ('fpga', 3), ('finn', 3), ('c', 2), ('openamp', 2), ('vitis', 2), ('cpp', 2), ('sdsoc', 2), ('neural', 2), ('mlir', 1), ('llvm', 1)]"
1,"['brevitas', 'finn', 'XRT', 'RapidWright', 'Vitis-Tutorials', 'ACCL', 'PYNQ-ZU', 'PYNQ_Composable_Pipeline', 'open-nic', 'open-nic-shell', 'Xilinx_Container_Runtime', 'KRS', 'xup_compute_acceleration', 'open-nic-driver', 'Vitis_Model_Composer', 'open-nic-dpdk', 'xoclv2']",17,"[('fpga', 15), ('xilinx', 4), ('vitis', 4), ('smartnic', 4), ('linux', 3), ('xrt', 3), ('datacenter', 3), ('network-acceleration', 3), ('neural', 2), ('quantization', 2), ('aiengine', 2), ('pynq', 2), ('xup', 2), ('text-to-speech', 1), ('speech-recognition', 1)]"
