,Topic,Description,Organization,License Type,Software Type
0,Bao,," Jos̩ Martins (UMinho), Sandro Pinto (UMinho)",, 
1,KVM,," Anup Patel (Western Digital), Atish Patra (Western Digital)",, 
2,KVMTOOL,," Anup Patel (Western Digital), Atish Patra (Western Digital)",, 
3,RVirt,, Jonathan Behrens (MIT),, 
4,Xvisor,, Anup Patel (Western Digital),, 
