,Topic,Description,Organization,License Type,Software Type
0,CoreGuard,," Dover Microsystems, Inc.",, 
1,emCrypt,, SEGGER,, 
2,Ghidra,, National Security Agency,, 
3,IntrinsicID,, Intrinsic ID,, 
4,Keystone Enclave,, Keystone Team,, 
5,MultiZone API,, Hex Five Security Inc.,, 
6,MultiZone Security TEE & Enclave,, Hex Five Security Inc.,, 
7,Penglai Enclave,, IPADS,, 
8,PQSLIB / PQSoC,, PQShield,, 
9,Secure IoT Stack,, Hex Five Security Inc.,, 
10,SecureRF,, SecureRF Corp.,, 
