,Topic,Description,Organization,License Type,Software Type
0,Ataraxia Linux,, protonesso,, 
1,Debian,, Manuel A. Fernandez Montecelo,, 
2,Fedora,," Richard WM Jones, Stefan Oâ€™Rear, David Abdurachmanov",, 
3,Gentoo,," Palmer Dabbelt (University of California, Berkeley)",, 
4,OpenMandriva,, Bernhard â€œBeroâ€ RosenkrÃ¤nzer,, 
5,openSUSE,, Andreas Schwab (SUSE),, 
6,Parabola GNU/Linux-libre,," Andreas Grapentin (University of Potsdam, HPI)",, 
7,Slackware Linux,, Ãlvaro Figueroa (of Greencore Solutions),, 
8,Ubuntu,, xnox,, 
