,Topic,Description,Organization,License Type,Software Type
0,Binutils,," Andrew Waterman (SiFive), Palmer Dabbelt (Google) & Jim Wilson (SiFive)",, 
1,Cranelift,, Cranelift core team,, 
2,LLVM,, Alex Bradbury (lowRISC),, 
