repo_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
cloud-native-core,0,0,0,0,4,0,0,0,0,4,0,2,0,0,0,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,13,4,10,2,1,26,3,3,1,2,14,0,2,0,0,1,0,12,6,3,1,4
MDL-SDK,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fsi-samples,0,1,0,0,4,5,1,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
nvbench,2,0,1,0,0,0,0,12,1,4,3,0,0,0,0,0,0,10,19,1,0,7,4,1,8,12,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
OptiX_Apps,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VideoProcessingFramework,0,2,1,1,4,0,1,5,0,1,6,11,8,2,4,0,0,1,0,1,0,2,1,0,2,0,0,0,0,0,1,1,3,1,2,0,0,0,3,15,0,1,2,0,2,2,3,1,1,0,0,0
spark-rapids-benchmarks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,2,1,2,2,0
kubevirt-gpu-device-plugin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0
hpc-container-maker,0,2,1,1,2,0,3,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,3,1,0,0,0,3,0,2,0,3,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0
open-gpu-doc,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
