,Topic,Description,Organization,License Type,Software Type
0,Binutils,," Andrew Waterman (SiFive), Palmer Dabbelt (Google) & Jim Wilson (SiFive)",, Object Toolchain 
1,Cranelift,, Cranelift core team,, Object Toolchain 
2,LLVM,, Alex Bradbury (lowRISC),, Object Toolchain 
