,Topic,Description,Organization,License Type,Software Type
0,Bao,," Jos̩ Martins (UMinho), Sandro Pinto (UMinho)",, Hypervisors 
1,KVM,," Anup Patel (Western Digital), Atish Patra (Western Digital)",, Hypervisors 
2,KVMTOOL,," Anup Patel (Western Digital), Atish Patra (Western Digital)",, Hypervisors 
3,RVirt,, Jonathan Behrens (MIT),, Hypervisors 
4,Xvisor,, Anup Patel (Western Digital),, Hypervisors 
