,Topic,Description,Organization,License Type,Software Type
0,Andes NN Library,, Andes,, Machine Learning and AI 
1,ncnn,, Tencent Open Source,, Machine Learning and AI 
2,TF Lite,, Antmicro / Google TF Lite team,, Machine Learning and AI 
