,Topic,Description,Organization,License Type,Software Type
0,Ataraxia Linux,, protonesso,, OS 
1,Debian,, Manuel A. Fernandez Montecelo,, OS 
2,Fedora,," Richard WM Jones, Stefan Oâ€™Rear, David Abdurachmanov",, OS 
3,Gentoo,," Palmer Dabbelt (University of California, Berkeley)",, OS 
4,OpenMandriva,, Bernhard â€œBeroâ€ RosenkrÃ¤nzer,, OS 
5,openSUSE,, Andreas Schwab (SUSE),, OS 
6,Parabola GNU/Linux-libre,," Andreas Grapentin (University of Potsdam, HPI)",, OS 
7,Slackware Linux,, Ãlvaro Figueroa (of Greencore Solutions),, OS 
8,Ubuntu,, xnox,, OS 
